rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
441,,598,1026000001774.0,"АО ""Великие Луки банк""",НПАО,1990-10-26,Действующая,"182110, Псковская область, г. Великие Луки, ул. Комсомольская, д. 27-а",598,"АО ""Великие Луки банк""",ВЕЛИКИЕ ЛУКИ БАНК
442,,2368,1026000001796.0,"ООО ""Бланк банк""",ООО (Паевое),1993-06-01,Действующая,"123112, г. Москва, 1-й Красногвардейский проезд, д. 22, стр. 1",2368,"ООО ""Бланк банк""",БЛАНК БАНК
443,,1291,1026000002160.0,"АО КБ ""ВАКОБАНК""",НПАО,1990-12-26,Действующая,"182110, Псковская область, г. Великие Луки, ул. К. Либкнехта, д. 15",1291,"АО КБ ""ВАКОБАНК""",ВАКОБАНК
444,,685,1026000001983.0,"ПАО КБ ""РусьРегионБанк""",ПАО,1990-11-01,Действующая,"108814, Российская Федерация, г. Москва, вн.тер.г.  муниципальный округ Коммунарка, ш. Калужское, км 24-й, д. 1, стр. 1, помещ. 2Н/9",685,"ПАО КБ ""РусьРегионБанк""",РУСЬРЕГИОНБАНК
445,,3120,1026100001839.0,"ПАО ""Тайм Банк""",ПАО,1994-10-10,Отозванная,"127254, г. Москва, ул. Руставели, д. 6",3120,"ПАО ""Тайм Банк""",ТАЙМ БАНК
446,,3136,1026100002565.0,"АО ""Таганрогбанк""",НПАО,1994-10-19,Действующая,"347900, Ростовская область, г.Таганрог, ул. Греческая, 71",3136,"АО ""Таганрогбанк""",ТАГАНРОГБАНК
447,,2813,1026100002092.0,"АО КБ ""РУБанк""",НПАО,1994-04-29,Отозванная,"127055, г. Москва, ул. Тихвинская, д. 20",2813,"АО КБ ""РУБанк""",РУБАНК
448,,2285,1026103273382.0,"ПАО ""Донхлеббанк""",ПАО,1993-03-30,Отозванная,"344082, г. Ростов-на-Дону, ул. Шаумяна, 36А",2285,"ПАО ""Донхлеббанк""",ДОНХЛЕББАНК
449,,574,1026100001982.0,"ООО ""ЗЕМКОМБАНК""",ООО (Паевое),1990-10-24,Действующая,"Российская Федерация, Ростовская область, городской округ Город Ростов-на-Дону, город Ростов-на-Дону, площадь Гагарина, дом 6/87, помещение 1",574,"ООО ""ЗЕМКОМБАНК""",ЗЕМКОМБАНК
450,,466,1026100002180.0,"ОАО КБ ""Максимум""",ОАО (АО),1990-10-11,Отозванная,"347382, Ростовская область, г. Волгодонск, ул. Черникова, 3",466,"ОАО КБ ""Максимум""",МАКСИМУМ
451,,2547,1026103270214.0,"АКБ ""Капиталбанк"" (ПАО)",ПАО,1993-10-25,Отозванная,"344011, г. Ростов-на-Дону, пер. Доломановский, 70 ""д""",2547,"АКБ ""Капиталбанк"" (ПАО)",КАПИТАЛБАНК
452,,1818,1026100002708.0,"МКБ ""Дон-Тексбанк"" ООО",ООО (Паевое),1992-02-21,Действующая,"346500, Ростовская область, г. Шахты, пр. Красной Армии, 140",1818,"МКБ ""Дон-Тексбанк"" ООО",МКБ ДОН-ТЕКСБАНК
453,,492,1026100001817.0,"ПАО ""Донкомбанк""",ПАО,1990-10-17,Действующая,"344068, г. Ростов-на-Дону, пр. Михаила Нагибина, 32а",492,"ПАО ""Донкомбанк""",ДОНКОМБАНК
454,,3186,1026100007119.0,"ООО КБ ""Кредит Экспресс""",ООО (Паевое),1994-12-26,Отозванная,"344002, г. Ростов-на-Дону, ул. М. Горького, 92/63",3186,"ООО КБ ""Кредит Экспресс""",КРЕДИТ ЭКСПРЕСС
455,,1617,1026100011200.0,"ООО КБ ""Донинвест""",ООО (Паевое),1991-11-06,Отозванная,"344011, г. Ростов-на-Дону, пер. Халтуринский, 99",1617,"ООО КБ ""Донинвест""",ДОНИНВЕСТ
456,,2225,1026100001949.0,"ПАО КБ ""Центр-инвест""",ПАО,1992-12-28,Действующая,"344000, г. Ростов-на-Дону, пр. Соколова, 62",2225,"ПАО КБ ""Центр-инвест""",ЦЕНТР-ИНВЕСТ
457,,106,1026100002026.0,"ПАО КБ ""Сельмашбанк""",ПАО,1991-08-06,Действующая,"344029, г. Ростов-на-Дону, пр. Сельмаш, 102",106,"ПАО КБ ""Сельмашбанк""",СЕЛЬМАШБАНК
458,,2211,1027739136622.0,"КБ ""РЭБ"" (АО)",НПАО,1992-12-21,Отозванная,"105062, г. Москва, пер. Подсосенский, д. 30, стр. 3",2211,"КБ ""РЭБ"" (АО)",РЭБ
459,,2065,1026200004060.0,"ООО ""ЖИВАГО БАНК""",ООО (Паевое),1992-09-08,Действующая,"390000, г. Рязань,  ул. Почтовая, д. 64",2065,"ООО ""ЖИВАГО БАНК""",ЖИВАГО БАНК
460,,2796,1026200000386.0,"Банк ""Вятич"" (АО)",АО (АО),1994-04-19,Действующая,"390046, г. Рязань, ул.Введенская, д.110",2796,"Банк ""Вятич"" (АО)",ВЯТИЧ
461,,1003,1026200000837.0,"ООО ""ЛЕНОБЛБАНК""",ООО (Паевое),1990-11-28,Отозванная,"188640, Ленинградская область, Всеволожский район, г.Всеволожск, шоссе Дорога Жизни, д.24/85",1003,"ООО ""ЛЕНОБЛБАНК""",ЛЕНОБЛБАНК
462,,3262,1026200007855.0,"ООО РИКБ ""Ринвестбанк""",ООО (Паевое),1995-07-07,Отозванная,"390000, г. Рязань, Первомайский проспект, д.14",3262,"ООО РИКБ ""Ринвестбанк""",РИКБ РИНВЕСТБАНК
463,,212,1026200000111.0,Прио-Внешторгбанк (ПАО),ПАО,1991-12-27,Действующая,"390023, г. Рязань, ул. Есенина,д.82/26",212,Прио-Внешторгбанк (ПАО),ПРИО-ВНЕШТОРГБАНК
464,,330,1026400002089.0,"ООО Банк ""Саратов""",ООО (Паевое),1990-06-28,Действующая,"410071, г.Саратов, ул.Шелковичная, 177",330,"ООО Банк ""Саратов""",САРАТОВ
465,,444,1026400002265.0,"АО ""БАЛАКОВО-БАНК""",НПАО,1990-10-08,Действующая,"413857, Саратовская область, г.Балаково, ул.Факел Социализма, 21",444,"АО ""БАЛАКОВО-БАНК""",БАЛАКОВО-БАНК
466,,671,1026400002310.0,"ООО ""БАНК ФИНИНВЕСТ""",ООО (Паевое),1990-10-31,Отозванная,"199226, г. Санкт-Петербург, улица Нахимова, дом 15, лит. Е.",671,"ООО ""БАНК ФИНИНВЕСТ""",ФИНИНВЕСТ
467,,937,1026400001803.0,"АО ""ОРБАНК""",НПАО,1990-11-23,Отозванная,"115280, г. Москва, ул. Ленинская Слобода, д. 19, стр. 32",937,"АО ""ОРБАНК""",ОРБАНК
468,,2168,1027739664260.0,"ООО ""Драйв Клик Банк""",ООО (Паевое),1992-11-27,Аннулированная,"125124, г. Москва, ул. Правды, д. 26",2168,"ООО ""Драйв Клик Банк""",ДРАЙВ КЛИК БАНК
469,,538,1026400002012.0,"ООО ""Промсельхозбанк""",ООО (Паевое),1990-10-22,Действующая,"г. Москва, вн.тер.г. муниципальный округ Тверской, ул. Малая Дмитровка, д.14, стр.4.",538,"ООО ""Промсельхозбанк""",ПРОМСЕЛЬХОЗБАНК
470,,931,1026400001858.0,"АО ""НВКбанк""",НПАО,1992-05-20,Отозванная,"410012, г. Саратов, ул.Рахова В.Г., д. 129",931,"АО ""НВКбанк""",НВКБАНК
471,,2860,1026400001770.0,"(АО ""Банк ""Агророс"")",НПАО,1994-05-23,Действующая,"410017, г.Саратов, ул.Чернышевского, 90",2860,"(АО ""Банк ""Агророс"")",АГРОРОС
472,,3223,1026400001870.0,"АО ""Свой Банк""",НПАО,1995-02-28,Действующая,"121096, г. Москва, вн. тер. г. Муниципальный округ Филевский парк, ул. Василисы Кожиной, д. 1, офис №804.8",3223,"АО ""Свой Банк""",СВОЙ БАНК
473,,1319,1026400002067.0,"АО ""Экономбанк""",НПАО,1990-12-29,Действующая,"410031, г.Саратов, ул.Радищева, 28",1319,"АО ""Экономбанк""",ЭКОНОМБАНК
474,,857,1026500538240.0,"КБ ""Долинск"" (АО)",НПАО,1990-11-21,Действующая,"693010, Сахалинская область, г. Южно-Сахалинск, ул. Комсомольская, 145",857,"КБ ""Долинск"" (АО)",ДОЛИНСК
475,,2390,1026500002286.0,"Банк ""ИТУРУП"" (ООО)",ООО (Паевое),1993-06-18,Действующая,"693000, Сахалинская область, г. Южно-Сахалинск, Коммунистический проспект, 32",2390,"Банк ""ИТУРУП"" (ООО)",ИТУРУП
476,Расчетная НКО,503,1026500000141.0,"АО РНКО ""НОДА""",НПАО,1990-10-17,Действующая,"107014, Российская Федерация, город Москва, ул. Гастелло, д. 2",503,"АО РНКО ""НОДА""",РНКО НОДА
477,,1143,1026500000317.0,"ООО ""Цифра банк""",ООО (Паевое),1990-12-10,Действующая,"Российская Федерация, 123112, вн. тер. г. муниципальный округ Пресненский, г. Москва, 1-й Красногвардейский проезд, д. 15, помещение 1/17",1143,"ООО ""Цифра банк""",ЦИФРА БАНК
478,,812,1026600001779.0,"ПАО ""Уралтрансбанк""",ПАО,1991-11-29,Отозванная,"620027, г.Екатеринбург, ул. Мельковская, 2 ""Б""",812,"ПАО ""Уралтрансбанк""",УРАЛТРАНСБАНК
479,,3161,1026600000074.0,"ПАО ""Контур.Банк""",ПАО,1994-11-25,Действующая,"620014, г. Екатеринбург, ул. 8 Марта, 13",3161,"ПАО ""Контур.Банк""",КОНТУР.БАНК
480,,1300,1026600000041.0,"ООО ""УИК-БАНК""",ООО (Паевое),1990-12-27,Отозванная,"454084, г.Челябинск, Свердловский проспект, дом 35 А",1300,"ООО ""УИК-БАНК""",УИК-БАНК
481,,1441,1026600000063.0,"""УМ-Банк"" ООО",ООО (Паевое),1991-04-17,Отозванная,"115184, г. Москва, ул. Ордынка Б, д. 59, стр. 2",1441,"""УМ-Банк"" ООО",УМ-БАНК
482,,1370,1026600001361.0,"ООО КБ ""Уралфинанс""",ООО (Паевое),1991-02-07,Действующая,"620075, Свердловская область, г. Екатеринбург, ул. Кузнечная, д.83",1370,"ООО КБ ""Уралфинанс""",УРАЛФИНАНС
483,,1293,1026600006510.0,"БАНК ""НЕЙВА"" ООО",ООО (Паевое),1990-12-26,Отозванная,"620142, Свердловская область, г. Екатеринбург, ул. Чапаева, д. 3а",1293,"БАНК ""НЕЙВА"" ООО",НЕЙВА
484,,705,1026600000460.0,АО Банк Синара,НПАО,1990-11-02,Действующая,"620026, г.Екатеринбург,ул. Куйбышева, 75",705,АО Банк Синара,СИНАРА
485,,2443,1026600000195.0,"ПАО ""МЕТКОМБАНК""",ПАО,1993-08-02,Действующая,"623406, Свердловская обл., г. Каменск-Уральский, ул. Октябрьская, 36",2443,"ПАО ""МЕТКОМБАНК""",МЕТКОМБАНК
486,,2227,1026600002098.0,"""Банк24.ру"" (ОАО)",ОАО (АО),1992-11-19,Отозванная,"125047, г.Москва, ул.Тверская-Ямская 1-я, д. 26",2227,"""Банк24.ру"" (ОАО)",БАНК24.РУ
487,,429,1026600000350.0,"ПАО КБ ""УБРиР""",ПАО,1990-09-28,Действующая,"620063, г. Екатеринбург, ул. 8 Марта, дом 51, этаж 11",429,"ПАО КБ ""УБРиР""",УБРИР
488,,965,1026600001823.0,"АО ""ПЕРВОУРАЛЬСКБАНК""",НПАО,1992-07-10,Действующая,"623101, Свердловская область, г.Первоуральск, пр. Ильича, 9 б",965,"АО ""ПЕРВОУРАЛЬСКБАНК""",ПЕРВОУРАЛЬСКБАНК
489,,2029,1126700000558.0,"ОАО ""Смоленский Банк""",ОАО (АО),1992-08-25,Отозванная,"214000, город Смоленск, ул.Тенишевой, д.6 а",2029,"ОАО ""Смоленский Банк""",СМОЛЕНСКИЙ БАНК
490,,1868,1026800000028.0,"АО ""Арксбанк""",НПАО,1992-05-22,Отозванная,"105064, г. Москва, ул. Казакова, дом 27",1868,"АО ""Арксбанк""",АРКСБАНК
491,,1312,1026800000017.0,"АО Банк ""ТКПБ""",НПАО,1990-12-28,Действующая,"392002, город Тамбов, улица Советская, дом 17А",1312,"АО Банк ""ТКПБ""",ТКПБ
492,,1720,1027000002446.0,"ПАО ""Томскпромстройбанк""",ПАО,1992-01-10,Действующая,"634061, город Томск, проспект Фрунзе, 90",1720,"ПАО ""Томскпромстройбанк""",ТОМСКПРОМСТРОЙБАНК
493,,2123,1027000000059.0,"ООО ""Промрегионбанк""",ООО (Паевое),1992-10-15,Отозванная,"115184, г. Москва, ул.Большая Татарская, д. 29",2123,"ООО ""Промрегионбанк""",ПРОМРЕГИОНБАНК
494,Расчетная НКО,3318,1027100000311.0,"НКО ""РКЦ ДВ"" (АО)",НПАО,1997-11-06,Действующая,"690001, г.Владивосток, улица Махалина, д. 15",3318,"НКО ""РКЦ ДВ"" (АО)",РКЦ ДВ
495,,3237,1027100000036.0,"КБ ""Первый Экспресс"" (ОАО)",ОАО (АО),1995-03-21,Отозванная,"300041, Тульская область, г.Тула, ул. Путейская, 1",3237,"КБ ""Первый Экспресс"" (ОАО)",ПЕРВЫЙ ЭКСПРЕСС
496,,385,1027200000321.0,"ОАО ""СИБНЕФТЕБАНК""",ОАО (АО),1991-09-06,Отозванная,"625000, Тюменская область, г. Тюмень, ул. Первомайская, д. 39.",385,"ОАО ""СИБНЕФТЕБАНК""",СИБНЕФТЕБАНК
497,,548,1028900000051.0,"АО ""СтарБанк""",НПАО,1990-10-23,Отозванная,"127055, город Москва, улица Бутырский Вал, дом 68/70, строение 1",548,"АО ""СтарБанк""",СТАРБАНК
498,,2913,1027739019000.0,"""НОТА-Банк"" (ПАО)",ПАО,1994-06-22,Отозванная,"127018, г. Москва, ул. Образцова, д.31, стр. 3",2913,"""НОТА-Банк"" (ПАО)",НОТА-БАНК
499,,1809,1028600003497.0,"АО БАНК ""Ермак""",НПАО,1992-02-17,Действующая,"628624, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, ул. Мира, 68",1809,"АО БАНК ""Ермак""",ЕРМАК
500,,2995,1028600003442.0,"КБ ""СТРОЙЛЕСБАНК"" (ООО)",ООО (Паевое),1994-07-26,Действующая,"625000, г. Тюмень, ул. Республики, дом 65",2995,"КБ ""СТРОЙЛЕСБАНК"" (ООО)",СТРОЙЛЕСБАНК
501,,880,1028600001770.0,"ПАО БАНК ""ЮГРА""",ПАО,1990-11-22,Отозванная,"101000, г. Москва, Лубянский проезд, д. 27/1, строение 1",880,"ПАО БАНК ""ЮГРА""",ЮГРА
502,,575,1028600002199.0,"АО АБ ""Капитал""",НПАО,1990-10-24,Действующая,"119334, г. Москва, 5-й Донской проезд, д. 17, помещ. 4/1",575,"АО АБ ""Капитал""",КАПИТАЛ
503,,990,1027200000013.0,"ООО КБ ""Дружба""",ООО (Паевое),1990-11-28,Действующая,"625048, Тюменская область, г. Тюмень, ул. Максима Горького, 68, корпус 2/1",990,"ООО КБ ""Дружба""",ДРУЖБА
504,,588,1028600001792.0,"АО БАНК ""СНГБ""",НПАО,1990-10-25,Действующая,"628404, Тюменская область, Ханты-Мансийский автономный округ - Югра, город Сургут, улица Григория Кукуевицкого, дом 19",588,"АО БАНК ""СНГБ""",СНГБ
505,,537,1028600002100.0,"АО КБ ""Приобье""",НПАО,1990-10-22,Действующая,"Ханты-Мансийский автономный округ - Югра,  городской округ Нижневартовск, город Нижневартовск, проспект Победы, здание 18а",537,"АО КБ ""Приобье""",ПРИОБЬЕ
506,,634,1027300001354.0,ПВ-Банк (ЗАО),ЗАО (АО),1990-10-30,Отозванная,"432970, г. Ульяновск, ул. К. Маркса,1",634,ПВ-Банк (ЗАО),ПВ-БАНК
507,,836,1027300534690.0,"АО БАНК ""РКБ""",НПАО,1990-11-20,Отозванная,"433508, Ульяновская область, г. Димитровград, ул. Самарская, дом 4",836,"АО БАНК ""РКБ""",РКБ
508,,524,1027300000166.0,"АО Банк ""Венец""",НПАО,1990-10-19,Действующая,"432071, г. Ульяновск, ул. Марата, 19",524,"АО Банк ""Венец""",ВЕНЕЦ
509,,2876,1027300000012.0,"АО КБ ""НИБ""",НПАО,1994-06-09,Действующая,"443010, г. Самара, Самарский район, ул. Фрунзе/ул. Некрасовская, д. 102/д.36",2876,"АО КБ ""НИБ""",НИБ
510,,653,1027300000232.0,"ОАО ГБ ""Симбирск""",ОАО (АО),1990-10-31,Отозванная,"432017, г. Ульяновск, ул.Карла Маркса, дом 5",653,"ОАО ГБ ""Симбирск""",ГБ СИМБИРСК
511,,568,1027400000154.0,"АО КБ ""Златкомбанк""",НПАО,1990-10-24,Отозванная,"119071, г. Москва, пр. Донской 2-й, д. 10, стр. 2",568,"АО КБ ""Златкомбанк""",ЗЛАТКОМБАНК
512,,2584,1027400000638.0,"Банк ""КУБ"" (АО)",НПАО,1993-11-25,Действующая,"455044, Челябинская область, г.Магнитогорск, ул.Гагарина, 17",2584,"Банк ""КУБ"" (АО)",КУБ
513,,1376,1027400009064.0,"Банк ""Снежинский"" АО",НПАО,1991-02-14,Действующая,"456770, Челябинская область, г. Снежинск, ул. Васильева, д. 19",1376,"Банк ""Снежинский"" АО",СНЕЖИНСКИЙ
514,,2964,1027400001727.0,"АО ""УРАЛПРОМБАНК""",НПАО,1994-07-11,Действующая,"454090, г.Челябинск, ул.Свободы, 97",2964,"АО ""УРАЛПРОМБАНК""",УРАЛПРОМБАНК
515,,1626,1027400000803.0,"ЗАО КБ ""УРАЛЛИГА""",ЗАО (АО),1991-11-20,Отозванная,"454091, г.Челябинск, ул.Свободы, 83",1626,"ЗАО КБ ""УРАЛЛИГА""",УРАЛЛИГА
516,,493,1027400001650.0,"ПАО ""ЧЕЛЯБИНВЕСТБАНК""",ПАО,1990-10-17,Действующая,"454091, г. Челябинск, пл. Революции, 8",493,"ПАО ""ЧЕЛЯБИНВЕСТБАНК""",ЧЕЛЯБИНВЕСТБАНК
517,,655,1027400009790.0,Таурус Банк (АО),НПАО,1990-10-31,Отозванная,"127051, г.Москва, Крапивенский переулок, дом 4, строение 1, здание 3",655,Таурус Банк (АО),ТАУРУС БАНК
518,,485,1027400000110.0,"ПАО ""ЧЕЛИНДБАНК""",ПАО,1990-10-16,Действующая,"454091, г. Челябинск, ул. Маркса, 80",485,"ПАО ""ЧЕЛИНДБАНК""",ЧЕЛИНДБАНК
519,,1068,1097800006589.0,"ПАО ""Невский банк""",ПАО,1990-12-05,Отозванная,"195271, г. Санкт-Петербург, Кондратьевский проспект, д. 64, корп. 2, лит. А, пом. 9 Н",1068,"ПАО ""Невский банк""",НЕВСКИЙ БАНК
520,,1093,1027600000020.0,"ПАО Банк ""ВВБ""",ПАО,1990-12-05,Отозванная,"299011, г. Севастополь, ул. 4-я Бастионная, д. 3а",1093,"ПАО Банк ""ВВБ""",ВВБ
521,,2564,1027600000075.0,"ИКБР ""ЯРИНТЕРБАНК"" (ООО)",ООО (Паевое),1993-11-01,Действующая,"150000, г.Ярославль, ул.Собинова, д.30",2564,"ИКБР ""ЯРИНТЕРБАНК"" (ООО)",ИКБР ЯРИНТЕРБАНК
522,,3413,1027600000251.0,"КБ ""РБА"" (ООО)",ООО (Паевое),2002-05-28,Действующая,"119049, г.Москва, Ленинский просп., д. 11, стр.3",3413,"КБ ""РБА"" (ООО)",РБА
523,,840,1020100001899.0,"ПАО АКБ ""Новация""",ПАО,1992-02-21,Отозванная,"385011,Республика Адыгея, г.Майкоп, ул.Димитрова, д.4, корпус 1",840,"ПАО АКБ ""Новация""",НОВАЦИЯ
524,,841,1020100002340.0,"ООО ""ВБ Банк""",ООО (Паевое),1990-11-20,Действующая,"119017, г. Москва, ул. Большая Ордынка, д.40, стр.4",841,"ООО ""ВБ Банк""",ВБ БАНК
525,,665,1020100002955.0,"ООО КБ ""ГТ банк""",ООО (Паевое),1990-10-31,Действующая,"350015 г. Краснодар, ул.Северная, д. 321",665,"ООО КБ ""ГТ банк""",ГТ БАНК
526,,2275,1020280000190.0,"ПАО ""БАНК УРАЛСИБ""",ПАО,1993-01-28,Действующая,"119048, г. Москва, ул. Ефремова, 8",2275,"ПАО ""БАНК УРАЛСИБ""",УРАЛСИБ
527,,1943,1020200000424.0,"ОАО Банк ""ПСБ""",ОАО (АО),1992-06-26,Отозванная,"450077, Республика Башкортостан, г.Уфа, ул.Достоевского,100",1943,"ОАО Банк ""ПСБ""",ПСБ
528,,2782,1020200000040.0,"ПАО АКБ ""РБР""",ПАО,1994-04-06,Отозванная,"105062, г.Москва, Лялин переулок, д. 19, корпус 1, помещение XXIV, комн. 18",2782,"ПАО АКБ ""РБР""",РБР
529,,2519,1020200000402.0,"ООО ""УралКапиталБанк""",ООО (Паевое),1993-09-30,Отозванная,"450071, Российская Федерация , Республика Башкортостан, город Уфа, улица Рязанская, дом  10",2519,"ООО ""УралКапиталБанк""",УРАЛКАПИТАЛБАНК
530,,2401,1097711000034.0,"ОАО Банк ""Народный кредит""",ОАО (АО),1993-06-28,Отозванная,"127006, г. Москва, ул. Долгоруковская, д. 9",2401,"ОАО Банк ""Народный кредит""",НАРОДНЫЙ КРЕДИТ
531,,2638,1020200000083.0,Банк ПТБ (ООО),ООО (Паевое),1993-12-30,Отозванная,"450008 , Республика Башкортостан, г. Уфа, ул.Ленина, 70",2638,Банк ПТБ (ООО),ПТБ
532,,991,1020280000014.0,"ОАО ""АФ Банк""",ОАО (АО),1990-11-28,Отозванная,"450057, Республика Башкортостан, город Уфа, улица Октябрьской революции, 78",991,"ОАО ""АФ Банк""",АФ БАНК
533,,1398,1020200001634.0,РОСКОМСНАББАНК (ПАО),ПАО,1991-03-01,Отозванная,"450076, Республика Башкортостан, г.Уфа, ул.Гафури, 54",1398,РОСКОМСНАББАНК (ПАО),РОСКОМСНАББАНК
534,,2632,1020300003460.0,БайкалБанк (ПАО),ПАО,1993-12-24,Отозванная,"670034, Республика Бурятия, г. Улан-Удэ, ул.Красноармейская,28",2632,БайкалБанк (ПАО),БАЙКАЛБАНК
535,,1053,1027739326306.0,"КБ ""Финансовый стандарт"" (ООО)",ООО (Паевое),1990-12-03,Отозванная,"129090, г. Москва, ул. Троицкая, д. 7, стр. 4",1053,"КБ ""Финансовый стандарт"" (ООО)",ФИНАНСОВЫЙ СТАНДАРТ
536,,3286,1020500000553.0,"ООО ""Дагэнергобанк""",ООО (Паевое),1996-02-27,Отозванная,"367000, Республика Дагестан, г.Махачкала, пр.Р.Гамзатова, 39 ""А""",3286,"ООО ""Дагэнергобанк""",ДАГЭНЕРГОБАНК
537,,3184,1020500002093.0,"КБ ""Континенталь"" ООО",ООО (Паевое),1994-12-26,Действующая,"357433, Ставропольский край, г. Железноводск, пос. Иноземцево, ул. Гагарина, 209",3184,"КБ ""Континенталь"" ООО",КОНТИНЕНТАЛЬ
538,,3173,1020500003919.0,"ООО КБ ""ВНЕШФИНБАНК""",ООО (Паевое),1994-12-05,Действующая,"350059, г. Краснодар,  ул. Волжская, д. 47",3173,"ООО КБ ""ВНЕШФИНБАНК""",ВНЕШФИНБАНК
539,,3084,1020500000619.0,"ОАО АКБ ""ЭКСПРЕСС""",ОАО (АО),1994-09-06,Отозванная,"367000, Республика Дагестан, г. Махачкала, ул. Абубакарова, 92",3084,"ОАО АКБ ""ЭКСПРЕСС""",ЭКСПРЕСС
540,,1991,1020500000058.0,"ООО ""ЭСИДБАНК""",ООО (Паевое),1992-07-29,Отозванная,"367000, Республика Дагестан, г. Махачкала, ул. Коркмасова, 45",1991,"ООО ""ЭСИДБАНК""",ЭСИДБАНК
541,,2407,1020500003941.0,"ООО КБ ""МВС Банк""",ООО (Паевое),1993-07-05,Действующая,"367008, Республика Дагестан, г. Махачкала, ул. Танкаева, д. 60",2407,"ООО КБ ""МВС Банк""",МВС БАНК
542,,1751,1107711000022.0,АО МОСОБЛБАНК,НПАО,1992-04-09,Действующая,"107023, г. Москва, ул. Большая Семеновская,  д. 32, стр. 1",1751,АО МОСОБЛБАНК,МОСОБЛБАНК
543,,622,1027700057440.0,"ООО КБ ""АкадемРусБанк""",ООО (Паевое),1990-10-29,Отозванная,"117447, г. Москва, улица Дмитрия Ульянова, дом 35, строение 1",622,"ООО КБ ""АкадемРусБанк""",АКАДЕМРУСБАНК
544,,2073,1020500000510.0,"ОАО БАНК ""МБФИ""",ОАО (АО),1992-09-10,Отозванная,"105062, г. Москва, Подсосенский  пер, д. 17",2073,"ОАО БАНК ""МБФИ""",МБФИ
545,,2098,1020500001873.0,"АИБ ""Имбанк"" (ОАО)",ОАО (АО),1992-09-30,Отозванная,"367037, Республика Дагестан, г.Махачкала, ул. Ирчи-Казака, 35А",2098,"АИБ ""Имбанк"" (ОАО)",АИБ ИМБАНК
546,,637,1027739108979.0,"КБ ""ИНВЕСТИЦИОННЫЙ СОЮЗ"" (ООО)",ООО (Паевое),1990-10-30,Отозванная,"115230, г. Москва, Хлебозаводский проезд, д. 7, стр. 9",637,"КБ ""ИНВЕСТИЦИОННЫЙ СОЮЗ"" (ООО)",ИНВЕСТИЦИОННЫЙ СОЮЗ
547,,2267,1020500001103.0,"АО АКБ ""ЭЛЬБИН""",НПАО,1993-01-29,Отозванная,"367000, Республика Дагестан, г. Махачкала, ул. Батырая, д.56",2267,"АО АКБ ""ЭЛЬБИН""",ЭЛЬБИН
548,Расчетная НКО,2761,1020500000333.0,"РНКО ""АМАНАТ"" (ООО)",ООО (Паевое),1994-03-22,Действующая,"123112, город Москва, вн. тер. г. муниципальный округ Пресненский, Пресненская набережная, дом 12, помещение 2/35",2761,"РНКО ""АМАНАТ"" (ООО)",РНКО АМАНАТ
549,,695,1020700000496.0,"Банк ""Нальчик"" ООО",ООО (Паевое),1990-11-02,Действующая,"360022, Кабардино-Балкарская республика, г.Нальчик, ул. Толстого,77",695,"Банк ""Нальчик"" ООО",НАЛЬЧИК
550,,3200,1140700000682.0,"КБ ""ЕВРОСТАНДАРТ"" (ООО)",ООО (Паевое),1995-01-16,Отозванная,"109028, г. Москва, ул. Солянка, д. 13/3, строение 1",3200,"КБ ""ЕВРОСТАНДАРТ"" (ООО)",ЕВРОСТАНДАРТ
551,,1777,1020700001464.0,"ПАО КБ ""ЕВРОКОММЕРЦ""",ПАО,1992-04-20,Отозванная,"127055, г. Москва, ул. Образцова, д. 4",1777,"ПАО КБ ""ЕВРОКОММЕРЦ""",ЕВРОКОММЕРЦ
552,,1137,1020700000254.0,"""БУМ-БАНК"", ООО",ООО (Паевое),1990-12-10,Отозванная,"360000, Кабардино-Балкарская Республика, г.Нальчик, ул.Ногмова, д. 62",1137,"""БУМ-БАНК"", ООО",БУМ-БАНК
553,,1975,1020400000081.0,"ООО КБ ""АйМаниБанк""",ООО (Паевое),1992-07-27,Отозванная,"125212, г.Москва, ул. Выборгская, д. 16, корп. 2",1975,"ООО КБ ""АйМаниБанк""",АЙМАНИБАНК
554,,1025,1020400000070.0,"ООО КБ ""Эл банк""",ООО (Паевое),1990-11-29,Отозванная,"445037, Самарская область, г. Тольятти, Новый проезд, д. 8",1025,"ООО КБ ""Эл банк""",ЭЛ БАНК
555,,2650,1020400000059.0,"АКБ ""НООСФЕРА"" (АО)",НПАО,1994-01-17,Действующая,"141109, Московская область, г.о. Щёлково, г. Щёлково, ул. Талсинская, д. 59 стр. 3А",2650,"АКБ ""НООСФЕРА"" (АО)",НООСФЕРА
556,,1035,1020800758681.0,"ОАО ККБ ""КРЕДИТБАНК""",ОАО (АО),1990-11-29,Отозванная,"358000, Республика Калмыкия, г. Элиста, ул. Нейман, 3а",1035,"ОАО ККБ ""КРЕДИТБАНК""",ККБ КРЕДИТБАНК
557,,2942,1020800758274.0,"ООО КБ ""НКБ""",ООО (Паевое),1994-06-29,Отозванная,"105064, г. Москва,улица Земляной Вал, д. 34А, строение 1",2942,"ООО КБ ""НКБ""",НКБ
