rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
86,,96,1024200001891.0,"АО ""Кемсоцинбанк""",НПАО,1991-09-04,Отозванная,"650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",96,"АО ""Кемсоцинбанк""",КЕМСОЦИНБАНК
87,НДКО,2085,1024200685948.0,"ООО НКО ""Тайдон""",ООО (Паевое),1992-09-18,Действующая,"650070, Кемеровская область - Кузбасс, г. Кемерово, пр. Молодежный, д. 5",2085,"ООО НКО ""Тайдон""",ТАЙДОН
88,,2868,1024200001847.0,"АКБ ""Кузбассхимбанк"" (ПАО)",ПАО,1994-06-03,Действующая,"Кемеровская область – Кузбасс, город Кемерово, улица Юрия Двужильного, дом 12",2868,"АКБ ""Кузбассхимбанк"" (ПАО)",КУЗБАССХИМБАНК
89,,2997,1024200006434.0,"АО ""Углеметбанк""",НПАО,1994-07-27,Действующая,"454138, г.Челябинск, ул.Молодогвардейцев, 17б",2997,"АО ""Углеметбанк""",УГЛЕМЕТБАНК
90,,2865,1024200001770.0,АКБ НМБ ОАО,ОАО (АО),1994-05-31,Отозванная,"654000, Кемеровская область, г.Новокузнецк, ул.Кирова, 38",2865,АКБ НМБ ОАО,НМБ
91,,1158,1024200001814.0,"АО ""Кузнецкбизнесбанк""",НПАО,1990-12-12,Действующая,"654080, Кемеровская область, г.Новокузнецк, ул.Кирова, 89 ""Б""",1158,"АО ""Кузнецкбизнесбанк""",КУЗНЕЦКБИЗНЕСБАНК
92,,2883,1024200002276.0,"""БСТ-БАНК"" АО",НПАО,1994-06-10,Действующая,"654041, Кемеровская область-Кузбасс, г.Новокузнецк, ул.Кутузова,31",2883,"""БСТ-БАНК"" АО",БСТ-БАНК
93,,1747,1024200001792.0,"ООО ""НОВОКИБ""",ООО (Паевое),1992-04-03,Действующая,"654080, Кемеровская область-Кузбасс, город Новокузнецк, улица Свердлова, дом 7, помещение 181",1747,"ООО ""НОВОКИБ""",НОВОКИБ
94,,254,1024300000042.0,"АО КБ ""Хлынов""",НПАО,1990-03-06,Действующая,"610002, г.Киров, ул. Урицкого, д. 40",254,"АО КБ ""Хлынов""",ХЛЫНОВ
95,,902,1024300004739.0,"ПАО ""Норвик Банк""",ПАО,1990-11-22,Действующая,"115054, г. Москва, ул. Зацепский Вал, д. 5",902,"ПАО ""Норвик Банк""",НОРВИК БАНК
96,,3271,1024300000097.0,"АО ""Первый Дортрансбанк""",НПАО,1995-10-09,Действующая,"610001, г.Киров, улица Комсомольская, д.12А",3271,"АО ""Первый Дортрансбанк""",ПЕРВЫЙ ДОРТРАНСБАНК
97,,970,1024400003209.0,"ООО КБ ""Конфидэнс Банк""",ООО (Паевое),1990-11-27,Отозванная,"156000, г. Кострома, пр. Мира, д. 113",970,"ООО КБ ""Конфидэнс Банк""",КОНФИДЭНС БАНК
98,,1115,1024400003858.0,"ООО ""Костромаселькомбанк""",ООО (Паевое),1990-12-07,Действующая,"156013, г. Кострома, ул.Калиновская, 36",1115,"ООО ""Костромаселькомбанк""",КОСТРОМАСЕЛЬКОМБАНК
99,,963,1144400000425.0,"ПАО ""Совкомбанк""",ПАО,1990-11-27,Действующая,"156000, г. Кострома, пр. Текстильщиков, д. 46",963,"ПАО ""Совкомбанк""",СОВКОМБАНК
100,,680,1024400002978.0,"ООО КБ ""Аксонбанк""",ООО (Паевое),1990-11-01,Отозванная,"156961, г. Кострома, пр-т Мира, 55",680,"ООО КБ ""Аксонбанк""",АКСОНБАНК
101,,324,1037739057070.0,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""",ОАО (АО),1991-12-23,Отозванная,"125252,  г. Москва, ул. Сальвадора Альенде, д. 7",324,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""",РОССИЙСКИЙ КРЕДИТ
102,,1481,1027700132195.0,ПАО Сбербанк,ПАО,1991-06-20,Действующая,"Российская Федерация, город Москва, улица Вавилова, дом 19",1481,ПАО Сбербанк,СБЕРБАНК
103,,1000,1027739609391.0,Банк ВТБ (ПАО),ПАО,1990-10-17,Действующая,"191144, г. Санкт-Петербург, Дегтярный переулок, д.11. лит. А",1000,Банк ВТБ (ПАО),ВТБ
104,,2900,1156300000141.0,"ООО ""Земский банк""",ООО (Паевое),1994-06-16,Действующая,"446001, Самарская обл., г.Сызрань, ул.Ульяновская, 79",2900,"ООО ""Земский банк""",ЗЕМСКИЙ БАНК
105,,2507,1026300001881.0,"АО ""Тольяттихимбанк""",НПАО,1993-09-21,Действующая,"445009, Самарская обл., г.Тольятти, ул.Горького, 96",2507,"АО ""Тольяттихимбанк""",ТОЛЬЯТТИХИМБАНК
106,,2794,1026300004499.0,"ЗАО ""ИпоТек Банк""",ЗАО (АО),1994-04-19,Отозванная,"107023, г. Москва, ул. Электрозаводская, дом 20, строение 11",2794,"ЗАО ""ИпоТек Банк""",ИПОТЕК БАНК
107,,3089,1026300003168.0,"АКБ ""МИРЪ"" (АО)",НПАО,1994-09-06,Отозванная,"125252, г. Москва, ул. Авиаконструктора Микояна, д. 12",3089,"АКБ ""МИРЪ"" (АО)",МИРЪ
108,,3006,1026300005170.0,"АО ""АК Банк""",НПАО,1994-07-29,Отозванная,"443001, г.Самара, ул. Вилоновская, д. 84",3006,"АО ""АК Банк""",АК БАНК
109,,2316,1026300002244.0,"АО АКБ ""ГАЗБАНК""",НПАО,1993-04-28,Отозванная,"443100, г.Самара, ул.Молодогвардейская, д.224",2316,"АО АКБ ""ГАЗБАНК""",ГАЗБАНК
110,,2542,1026300001980.0,"АО ""ФИА-БАНК""",НПАО,1993-10-25,Отозванная,"445037, Самарская обл., г. Тольятти,  Новый проезд, д.8",2542,"АО ""ФИА-БАНК""",ФИА-БАНК
111,,2668,1026300003465.0,"ЗАО КБ ""ЛАДА-КРЕДИТ""",ЗАО (АО),1994-01-28,Отозванная,"117630, г.Москва, ул.Обручева, д. 23",2668,"ЗАО КБ ""ЛАДА-КРЕДИТ""",ЛАДА-КРЕДИТ
112,,2654,1027739197914.0,"КБ ""Унифин"" АО",НПАО,1994-01-20,Отозванная,"127051, г. Москва, 1-ый Колобовский переулок, дом 11",2654,"КБ ""Унифин"" АО",УНИФИН
113,,554,1026300001848.0,"АО КБ ""Солидарность""",НПАО,1990-10-23,Действующая,"Российская Федерация, Самарская область, г.о. Самара, вн. р-н Октябрьский, г. Самара, проезд Георгия Митирева, д. 11",554,"АО КБ ""Солидарность""",СОЛИДАРНОСТЬ
114,Расчетная НКО,3324,1026300001859.0,"НКО ""Платежи и Расчеты"" (АО)",НПАО,1997-12-26,Действующая,"443011, г. Самара, Октябрьский район, ул.Советской Армии, д.238 ""В""",3324,"НКО ""Платежи и Расчеты"" (АО)",ПЛАТЕЖИ И РАСЧЕТЫ
115,,842,1024500000392.0,"ООО КБ ""Кетовский""",ООО (Паевое),1990-11-20,Действующая,"640002, г. Курган, ул. К. Мяготина, д. 124а",842,"ООО КБ ""Кетовский""",КЕТОВСКИЙ
116,,2568,1194501005401.0,"ООО БАНК ""КУРГАН""",ООО (Паевое),1993-11-09,Действующая,"Курганская область, г. Курган, ул. Гоголя, д. 78",2568,"ООО БАНК ""КУРГАН""",КУРГАН
117,,2758,1027800001240.0,"Банк ""Прайм Финанс"" (АО)",НПАО,1994-03-18,Отозванная,"197374, Санкт-Петербург, ул.Савушкина, д.126, литер Б, помещение 71-Н",2758,"Банк ""Прайм Финанс"" (АО)",ПРАЙМ ФИНАНС
118,,356,1027800000183.0,"АО ""Витабанк""",НПАО,1991-11-22,Действующая,"142116, Московская область, городской округ Подольск, город Подольск, улица Ульяновых, дом 1, помещение 2",356,"АО ""Витабанк""",ВИТАБАНК
119,,2304,1027800000315.0,Таврический Банк (АО),НПАО,1993-04-21,Отозванная,"191014, Санкт-Петербург, ул. Радищева, дом 39, литер А",2304,Таврический Банк (АО),ТАВРИЧЕСКИЙ БАНК
120,,3194,1027800000095.0,"АО ""Сити Инвест Банк""",НПАО,1994-12-30,Действующая,"191187, г. Санкт-Петербург, ул. Шпалерная, д.2/4, литер А",3194,"АО ""Сити Инвест Банк""",СИТИ ИНВЕСТ БАНК
121,,2530,1027800000942.0,ЭКСИ-Банк (АО),НПАО,1993-10-14,Действующая,"199178, г. Санкт-Петербург, муниципальный округ Васильевский, Малый пр-кт В.О., д. 54, к. 4, литера В, помещ. 1-Н",2530,ЭКСИ-Банк (АО),ЭКСИ-БАНК
122,,2611,1027800003505.0,"АО Банк ""Объединенный капитал""",НПАО,1993-12-13,Действующая,"195220, г.Санкт-Петербург, ул. Гжатская, д. 21, корп. 2, лит. А",2611,"АО Банк ""Объединенный капитал""",ОБЪЕДИНЕННЫЙ КАПИТАЛ
123,,197,1027800001547.0,Банк МБСП (АО),НПАО,1991-12-11,Отозванная,"194044, Санкт-Петербург, Крапивный пер., 5",197,Банк МБСП (АО),МБСП
124,,3176,1027800001570.0,"ПАО ""БАЛТИНВЕСТБАНК""",ПАО,1994-12-13,Действующая,"197101, Санкт-Петербург, ул. Дивенская, дом 1, литера А",3176,"ПАО ""БАЛТИНВЕСТБАНК""",БАЛТИНВЕСТБАНК
125,,328,1027800000084.0,"АО ""АБ ""РОССИЯ""",НПАО,1991-12-29,Действующая,"г. Санкт-Петербург, пл. Растрелли, д. 2, стр. 1",328,"АО ""АБ ""РОССИЯ""",РОССИЯ
126,,2982,1027800000348.0,"АО ""ГОРБАНК""",НПАО,1994-07-19,Действующая,"191186, Российская Федерация, город Санкт-Петербург, улица Итальянская, дом 15 литер А",2982,"АО ""ГОРБАНК""",ГОРБАНК
